<<<<<<< HEAD
﻿Year,Rank,Status,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
2011,26,NP,Minnesota Timberwolves,23.8,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,-6.9,96.5,0.282,0.223,0.526,0.483,15.1,29.6,0.217,0.514,13.1,73.7,0.251
2011,27,NP,New Jersey Nets,24.8,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,-6.8,89.9,0.283,0.201,0.517,0.474,13.4,26.1,0.215,0.503,11.8,74.2,0.241
2011,28,NP,Toronto Raptors,24.5,22,60,24,58,-6.28,0.01,-6.28,106.1,112.9,-6.8,92.9,0.293,0.162,0.533,0.491,13.7,28.2,0.221,0.522,13,72,0.251
2011,29,NP,Washington Wizards,24.9,23,59,22,60,-7.4,0.11,-7.3,102.4,110.2,-7.8,93.8,0.29,0.172,0.513,0.471,13.9,28,0.216,0.512,14.4,70.5,0.249
2011,30,NP,Cleveland Cavaliers,26.6,19,63,18,64,-9.01,0.14,-8.88,102.2,111.8,-9.6,93,0.312,0.224,0.518,0.472,13.4,24.2,0.233,0.524,12.7,73.3,0.211
2011,,,League Average,26.7,,,41,41,0,0,0,107.3,107.3,,92.1,0.3,0.222,0.541,0.498,13.4,26.4,0.229,0.498,13.4,73.6,0.229
2012,1,PQ,Chicago Bulls*,27.1,50,16,51,15,8.18,-0.76,7.43,107.4,98.3,9.1,89.1,0.255,0.205,0.523,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175
2012,2,PQ,San Antonio Spurs*,27.5,50,16,48,18,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168
2012,3,CC,Oklahoma City Thunder*,25.1,47,19,46,20,6.12,0.32,6.44,109.8,103.2,6.6,93,0.334,0.252,0.567,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207
2012,4,NBAC,Miami Heat*,28.3,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2
2012,5,PQ,Philadelphia 76ers*,24.9,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,0.217,0.175,0.511,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192
2012,6,PQ,Denver Nuggets*,26.6,38,28,39,27,2.88,0.29,3.16,109.2,106.2,3,94.2,0.326,0.243,0.556,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185
2012,7,PQ,Los Angeles Clippers*,27.3,40,26,39,27,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.287,0.269,0.533,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245
2012,8,PQ,Atlanta Hawks*,27.9,40,26,41,25,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186
2012,9,PQ,Indiana Pacers*,26.3,42,24,41,25,3.3,-0.71,2.6,106.7,103.1,3.6,90.7,0.321,0.198,0.526,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222
2012,10,PQ,Memphis Grizzlies*,25.6,41,25,38,28,2.02,0.42,2.43,104,101.8,2.2,90.8,0.277,0.157,0.515,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227
2012,11,PQ,New York Knicks*,26.3,36,30,41,25,3.2,-0.81,2.39,104.4,101,3.4,93.2,0.306,0.288,0.533,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224
2012,12,PQ,Boston Celtics*,29.3,39,27,39,27,2.52,-0.26,2.26,101,98.2,2.8,90.4,0.257,0.194,0.535,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216
2012,13,PQ,Los Angeles Lakers*,29.7,41,25,36,30,1.42,0.54,1.96,106,104.4,1.6,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158
2012,14,PQ,Dallas Mavericks*,31.3,36,30,35,31,0.95,0.83,1.78,103.3,102.3,1,91.4,0.246,0.271,0.527,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203
2012,15,PQ,Utah Jazz*,25.6,36,30,34,32,0.62,0.3,0.92,106.8,106.1,0.7,91.4,0.302,0.153,0.525,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
2012,16,NP,Houston Rockets,26.2,34,32,34,32,0.23,0.35,0.57,105.5,105.2,0.3,91.7,0.235,0.24,0.529,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21
2012,17,PQ,Orlando Magic*,27.5,37,29,35,31,0.79,-0.33,0.46,105,104.1,0.9,89,0.292,0.346,0.533,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19
2012,18,NP,Phoenix Suns,28.9,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,0.257,0.238,0.536,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2
2012,19,NP,Portland Trail Blazers,27.5,28,38,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,0.263,0.255,0.531,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199
2012,20,NP,Milwaukee Bucks,26.2,31,35,34,32,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.224,0.521,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217
2012,21,NP,Minnesota Timberwolves,24.4,26,40,28,38,-2.2,0.37,-1.83,104.3,106.6,-2.3,93.3,0.306,0.262,0.524,0.477,14,27.5,0.236,0.491,12.2,73,0.187
2012,22,NP,Golden State Warriors,25.3,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,0.227,0.248,0.539,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237
2012,23,NP,New Orleans Hornets,25.5,21,45,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,0.274,0.152,0.517,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218
2012,24,NP,Toronto Raptors,25.7,23,43,25,41,-3.3,-0.36,-3.67,100.8,104.5,-3.7,89.3,0.274,0.209,0.518,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26
2012,25,NP,Sacramento Kings,24.3,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,-6,94.7,0.268,0.228,0.51,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199
2012,26,NP,Washington Wizards,24.2,20,46,22,44,-4.8,-0.34,-5.14,101,106.2,-5.2,92.5,0.253,0.196,0.508,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229
2012,27,NP,Detroit Pistons,26.3,25,41,22,44,-4.79,-0.4,-5.19,101,106.3,-5.3,89.2,0.279,0.175,0.51,0.468,15,28.1,0.21,0.5,14.2,72.8,0.226
2012,28,NP,New Jersey Nets,26.1,22,44,19,47,-5.98,-0.39,-6.37,102.9,109.6,-6.7,90.1,0.269,0.278,0.516,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209
2012,29,NP,Cleveland Cavaliers,26,21,45,17,49,-7.2,-0.14,-7.34,101.1,108.9,-7.8,91.3,0.307,0.238,0.505,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202
2012,30,NP,Charlotte Bobcats,24.5,7,59,7,59,-13.91,-0.05,-13.96,95.2,110.4,-15.2,91.1,0.276,0.169,0.483,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206
2012,,,League Average,26.7,,,33,33,0,0,0,104.6,104.6,,91.3,0.276,0.226,0.527,0.487,13.8,27,0.208,0.487,13.8,73,0.208
2013,1,PQ,Oklahoma City Thunder*,26,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.338,0.244,0.58,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.197
2013,2,NBAC,Miami Heat*,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,0.487,14.8,73,0.2
2013,3,CC,San Antonio Spurs*,28.6,58,24,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.531,14,20.5,0.204,0.48,13.7,74.9,0.179
2013,4,PQ,Los Angeles Clippers*,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,7,91.1,0.286,0.265,0.557,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229
2013,5,PQ,Denver Nuggets*,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,5.3,95.1,0.308,0.217,0.549,0.515,13.6,31.4,0.216,0.493,14.3,71.8,0.193
2013,6,PQ,Memphis Grizzlies*,27,56,26,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,0.472,13.3,31,0.202,0.475,15.2,74.3,0.209
2013,7,PQ,New York Knicks*,30.2,54,28,53,29,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.258,0.354,0.55,0.515,11.7,25.6,0.196,0.508,14.8,74.7,0.216
2013,8,PQ,Houston Rockets*,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,3.6,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.232,0.502,13.5,75.2,0.196
2013,9,PQ,Indiana Pacers*,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197
2013,10,PQ,Los Angeles Lakers*,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,1.2,94.4,0.345,0.303,0.548,0.512,13.9,27,0.239,0.496,11.9,74.3,0.163
2013,11,PQ,Golden State Warriors*,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.255,0.239,0.545,0.506,14,25.4,0.201,0.486,12.4,75.5,0.211
2013,12,PQ,Brooklyn Nets*,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,2,88.8,0.299,0.269,0.536,0.498,14,30.9,0.219,0.503,13.1,73.7,0.174
2013,13,NP,Utah Jazz,26.3,43,39,41,41,-0.09,0.38,0.3,106.7,106.8,-0.1,90.9,0.281,0.206,0.533,0.492,13.8,28.8,0.214,0.501,14,73.2,0.226
2013,14,PQ,Chicago Bulls*,28,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206
2013,15,PQ,Atlanta Hawks*,27.1,44,38,42,40,0.4,-0.48,-0.08,104.8,104.4,0.4,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181
2013,16,NP,Dallas Mavericks,29.5,41,41,39,43,-0.6,0.36,-0.24,105.9,106.5,-0.6,94.1,0.242,0.236,0.544,0.506,13,21.8,0.192,0.492,13.3,73.1,0.227
2013,17,PQ,Boston Celtics*,29.1,41,40,40,41,-0.22,-0.4,-0.62,103.1,103.3,-0.2,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216
2013,18,PQ,Milwaukee Bucks*,26.4,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,-1.6,94.7,0.236,0.232,0.51,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201
2013,19,NP,Minnesota Timberwolves,26.4,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,0.305,0.22,0.516,0.473,13.8,27.4,0.226,0.511,15,74,0.187
2013,20,NP,Toronto Raptors,25.4,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,0.274,0.249,0.532,0.488,13,25.5,0.216,0.5,13.6,73.4,0.247
2013,21,NP,Portland Trail Blazers,24.4,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,-3.4,91.4,0.25,0.284,0.536,0.498,13.9,25.3,0.194,0.512,12.5,73.3,0.189
2013,22,NP,Washington Wizards,25.4,29,53,33,49,-2.54,-0.25,-2.78,100.2,103,-2.8,92.2,0.261,0.223,0.512,0.475,14.2,24.6,0.191,0.483,13.7,74.6,0.206
2013,23,NP,New Orleans Hornets,24,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,0.248,0.224,0.528,0.489,14,29.2,0.193,0.52,13.1,74.4,0.208
2013,24,NP,Philadelphia 76ers,25.2,34,48,31,51,-3.34,-0.17,-3.51,102,105.7,-3.7,91,0.2,0.209,0.509,0.481,12.5,24.9,0.146,0.495,13.7,73.4,0.2
2013,25,NP,Sacramento Kings,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,0.271,0.243,0.532,0.491,13.4,26.6,0.208,0.517,13.6,71,0.227
2013,26,NP,Detroit Pistons,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,0.282,0.217,0.521,0.487,14.3,28.3,0.197,0.505,13.1,73,0.209
2013,27,NP,Cleveland Cavaliers,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,0.265,0.229,0.514,0.473,13,28.1,0.2,0.523,14.4,72.6,0.225
2013,28,NP,Phoenix Suns,26.9,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,0.234,0.21,0.512,0.477,14.3,27,0.174,0.512,14.2,71.9,0.208
2013,29,NP,Orlando Magic,24.6,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,0.197,0.223,0.514,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195
2013,30,NP,Charlotte Bobcats,24.4,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,-10,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197
2013,,,League Average,26.7,,,41,41,0,0,0,105.9,105.9,,92,0.27,0.243,0.535,0.496,13.7,26.5,0.204,0.496,13.7,73.5,0.204
2014,1,NBAC,San Antonio Spurs*,28.9,62,20,61,21,7.72,0.28,8,110.5,102.4,8.1,95,0.24,0.257,0.571,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
2014,2,PQ,Los Angeles Clippers*,28.1,57,25,59,23,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222
2014,3,PQ,Oklahoma City Thunder*,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
2014,4,PQ,Golden State Warriors*,26.3,51,31,54,28,4.8,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
2014,5,PQ,Houston Rockets*,25.4,54,28,53,29,4.56,0.5,5.06,111,106.3,4.7,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
2014,6,PQ,Portland Trail Blazers*,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28,0.22,0.488,11,74.7,0.194
2014,7,CC,Miami Heat*,30.6,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212
2014,8,PQ,Indiana Pacers*,27.2,56,26,54,28,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
2014,9,NP,Minnesota Timberwolves,26.3,40,42,48,34,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
2014,10,NP,Phoenix Suns,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237
2014,11,PQ,Dallas Mavericks*,30.6,49,33,48,34,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
2014,12,PQ,Toronto Raptors*,25.6,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237
2014,13,PQ,Memphis Grizzlies*,28.5,50,32,46,36,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
2014,14,PQ,Chicago Bulls*,28.6,48,34,47,35,1.85,-0.66,1.2,102.5,100.5,2,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189
2014,15,PQ,Washington Wizards*,26.3,44,38,45,37,1.27,-0.79,0.48,106,104.6,1.4,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22
2014,16,PQ,Atlanta Hawks*,27.5,38,44,40,42,-0.48,-0.4,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,0.515,14.3,21,0.208,0.51,14,74.4,0.196
2014,17,PQ,Charlotte Bobcats*,25.5,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
2014,18,NP,Denver Nuggets,26,36,46,35,47,-2.15,0.75,-1.4,106,108.2,-2.2,98.1,0.306,0.278,0.536,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233
2014,19,NP,New York Knicks,28.3,37,45,39,43,-0.79,-0.61,-1.4,108.3,109.1,-0.8,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
2014,20,PQ,Brooklyn Nets*,30,44,38,38,44,-1,-0.58,-1.58,106.7,107.7,-1,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
2014,21,NP,New Orleans Pelicans,24.3,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,-2.9,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
2014,22,NP,Sacramento Kings,24.9,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,-3.1,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234
2014,23,NP,Cleveland Cavaliers,24.9,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,-3.5,93.1,0.268,0.236,0.518,0.479,13,27.2,0.201,0.508,13,75.8,0.199
2014,24,NP,Detroit Pistons,24.7,29,53,31,51,-3.66,-0.48,-4.13,105.9,109.7,-3.8,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
2014,25,NP,Boston Celtics,25.4,25,57,28,54,-4.46,-0.51,-4.97,102.9,107.7,-4.8,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
2014,26,NP,Los Angeles Lakers,26.8,27,55,25,57,-6.29,0.96,-5.33,104.2,110.6,-6.4,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192
2014,27,NP,Orlando Magic,24.6,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,-5.7,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
2014,28,NP,Utah Jazz,24.5,25,57,22,60,-7.17,0.91,-6.27,103.5,111.3,-7.8,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227
2014,29,NP,Milwaukee Bucks,24.7,15,67,20,62,-8.18,-0.23,-8.41,103,111.8,-8.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
2014,30,NP,Philadelphia 76ers,23.4,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,-10.5,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
2014,,,League Average,26.6,,,41,41,0,0,0,106.7,106.7,,93.9,0.284,0.259,0.541,0.501,13.6,25.5,0.215,0.501,13.6,74.5,0.215
2015,1,NBAC,Golden State Warriors*,26.6,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217
2015,2,PQ,Los Angeles Clippers*,28.8,56,26,58,24,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231
2015,3,PQ,San Antonio Spurs*,29.8,55,27,58,24,6.2,0.14,6.34,108.5,102,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19
2015,4,PQ,Atlanta Hawks*,27.8,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185
2015,5,PQ,Portland Trail Blazers*,27,51,31,53,29,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182
2015,6,CC,Cleveland Cavaliers*,26.9,53,29,53,29,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177
2015,7,PQ,Houston Rockets*,27.6,56,26,50,32,3.44,0.38,3.82,107,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208
2015,8,PQ,Memphis Grizzlies*,29.6,55,27,50,32,3.24,0.38,3.62,105.7,102.2,3.5,92,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183
2015,9,PQ,Dallas Mavericks*,29.9,50,32,49,33,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204
2015,10,PQ,Chicago Bulls*,28.8,50,32,50,32,3,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182
2015,11,NP,Oklahoma City Thunder,25.4,45,37,47,35,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213
2015,12,PQ,Toronto Raptors*,26.1,49,33,49,33,3.07,-0.62,2.45,111,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208
2015,13,PQ,New Orleans Pelicans*,25.3,45,37,43,39,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195
2015,14,NP,Utah Jazz,23.4,38,44,42,40,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199
2015,15,PQ,Washington Wizards*,28.6,46,36,43,39,0.72,-0.55,0.17,103.7,103,0.7,93.7,0.259,0.203,0.534,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21
2015,16,PQ,Milwaukee Bucks*,24.6,41,41,42,40,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221
2015,17,NP,Indiana Pacers,28.3,38,44,42,40,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24,0.201,0.478,12,77.9,0.217
2015,18,NP,Phoenix Suns,25.7,39,43,38,44,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221
2015,19,PQ,Boston Celtics*,25,40,42,41,41,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208
2015,20,NP,Detroit Pistons,25.9,32,50,38,44,-1,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75,0.192
2015,21,NP,Miami Heat,28.5,37,45,33,49,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213
2015,22,NP,Denver Nuggets,26.4,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13,74.7,0.239
2015,23,NP,Sacramento Kings,26,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2
2015,24,PQ,Brooklyn Nets*,28.6,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,-3,92.7,0.267,0.24,0.529,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185
2015,25,NP,Charlotte Hornets,26,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12,79.3,0.188
2015,26,NP,Orlando Magic,24.3,25,57,25,57,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524,0.494,14,23.1,0.168,0.514,13.6,76,0.21
2015,27,NP,Los Angeles Lakers,27,21,61,23,59,-6.84,0.67,-6.17,103.4,110.6,-7.2,94,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231
2015,28,NP,Minnesota Timberwolves,24.4,16,66,19,63,-8.79,0.79,-8,102.9,112.2,-9.3,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187
2015,29,NP,Philadelphia 76ers,23.2,18,64,18,64,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.288,0.319,0.494,0.459,16,25.5,0.195,0.497,15.2,73,0.225
2015,30,NP,New York Knicks,26.9,17,65,17,65,-9.32,-0.18,-9.5,99.9,110,-10.1,91.2,0.234,0.24,0.508,0.47,14,24.5,0.18,0.512,13.3,73.1,0.234
2015,,,League Average,26.8,,,41,41,0,0,0,105.6,105.6,,93.9,0.273,0.268,0.534,0.496,13.3,25.1,0.205,0.496,13.3,74.9,0.205
2016,1,CC,Golden State Warriors*,27.4,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76,0.208
2016,2,PQ,San Antonio Spurs*,30.3,67,15,67,15,10.63,-0.36,10.28,110.3,99,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23,0.197,0.477,14.1,79.1,0.182
2016,3,PQ,Oklahoma City Thunder*,25.8,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14,31.1,0.228,0.484,11.7,76,0.205
2016,4,NBAC,Cleveland Cavaliers*,28.1,57,25,57,25,6,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205
2016,5,PQ,Los Angeles Clippers*,29.7,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222
